date,home_team,away_team,winner
2006-06-26,Switzerland,Ukraine,Ukraine
2000-02-12,South Africa,Tunisia,South Africa
2016-06-03,Vietnam,Hong Kong,Vietnam
1973-07-26,Malaysia,Kuwait,Malaysia
1998-07-07,Brazil,Netherlands,Brazil
2016-06-22,Botswana,DR Congo,Botswana
1996-11-29,Sudan,Kenya,Sudan
1994-07-10,Romania,Sweden,Sweden
1993-01-23,Japan,Switzerland,Switzerland
2005-08-13,South Africa,Zambia,Zambia
2019-10-13,Chad,Liberia,Chad
1982-11-27,Uganda,Kenya,Kenya
2004-12-03,Bahrain,Latvia,Bahrain
2020-10-08,Scotland,Israel,Scotland
2001-02-11,Eswatini,Zambia,Eswatini
1982-07-08,Germany,France,Germany
2017-06-09,Kárpátalja,Ellan Vannin,Kárpátalja
1983-02-27,Mali,Guinea,Mali
2004-07-25,Argentina,Brazil,Brazil
1989-11-08,Iran,Uganda,Uganda
2015-01-23,Iran,Iraq,Iraq
1992-01-26,Ghana,Ivory Coast,Ivory Coast
2019-07-05,Morocco,Benin,Benin
2002-06-16,Spain,Republic of Ireland,Spain
1986-06-22,Spain,Belgium,Belgium
1974-11-22,Libya,Tunisia,Tunisia
1995-12-07,Honduras,Costa Rica,Honduras
2022-12-18,Argentina,France,Argentina
2018-07-07,Russia,Croatia,Croatia
1988-05-05,Mali,Senegal,Mali
1996-01-28,Gabon,Tunisia,Tunisia
2011-06-18,Costa Rica,Honduras,Honduras
2006-04-29,Lesotho,Mozambique,Lesotho
1985-07-12,Saudi Arabia,Qatar,Saudi Arabia
1990-12-17,Tanzania,Uganda,Uganda
2016-07-02,Germany,Italy,Germany
2002-01-26,Canada,Martinique,Canada
2004-07-30,Uzbekistan,Bahrain,Bahrain
2002-10-26,Kenya,Uganda,Kenya
2009-07-23,Costa Rica,Mexico,Mexico
2003-03-22,Mozambique,Lesotho,Mozambique
1995-12-02,Gabon,Cameroon,Cameroon
1973-07-27,Bangladesh,Thailand,Thailand
