date,home_team,away_team,winner
2015-05-24,Zambia,Namibia,Namibia
2022-09-25,Malaysia,Tajikistan,Tajikistan
1996-11-29,Sudan,Kenya,Sudan
1988-05-08,Guinea,Mali,Guinea
2000-10-04,United Arab Emirates,South Korea,United Arab Emirates
1999-07-10,Paraguay,Uruguay,Uruguay
1988-07-19,Egypt,Syria,Syria
1986-03-21,Egypt,Cameroon,Egypt
1999-06-19,New Zealand,Poland,Poland
2000-10-28,Kenya,Uganda,Uganda
2005-02-09,Austria,Latvia,Latvia
2006-02-04,Nigeria,Tunisia,Nigeria
1982-05-17,Thailand,South Korea,Thailand
2005-07-30,Egypt,United Arab Emirates,Egypt
1984-12-19,Central African Republic,Gabon,Gabon
2020-10-08,Bosnia and Herzegovina,Northern Ireland,Northern Ireland
2015-02-07,Equatorial Guinea,DR Congo,DR Congo
1989-11-12,Iraq,Uganda,Iraq
1973-06-14,Mauritius,Tanzania,Mauritius
2023-06-18,Croatia,Spain,Spain
1988-05-05,Mali,Senegal,Mali
2008-07-27,Zambia,Zimbabwe,Zambia
2021-07-18,Eswatini,Mozambique,Eswatini
2022-01-26,Ivory Coast,Egypt,Egypt
1986-12-17,Chad,Gabon,Chad
2022-02-05,Cameroon,Burkina Faso,Cameroon
1998-12-02,United Arab Emirates,North Korea,United Arab Emirates
1986-06-22,Spain,Belgium,Belgium
1967-08-22,India,Taiwan,Taiwan
2019-07-05,Morocco,Benin,Benin
2013-01-23,Sweden,North Korea,Sweden
2019-06-05,Zimbabwe,Zambia,Zambia
2004-12-24,Qatar,Oman,Qatar
1981-05-10,Rwanda,Ethiopia,Ethiopia
2007-10-24,South Africa,Zambia,South Africa
1984-11-23,Kenya,Somalia,Kenya
1996-12-12,Croatia,Czech Republic,Croatia
2015-07-25,United States,Panama,Panama
2017-07-01,Namibia,Lesotho,Lesotho
2023-07-01,India,Lebanon,India
1997-10-22,Cuba,Cameroon,Cuba
2019-06-09,Switzerland,England,England
2003-01-20,Bangladesh,Maldives,Bangladesh
2021-07-16,Senegal,Eswatini,Senegal
2016-06-01,United Koreans in Japan,Northern Cyprus,Northern Cyprus
1996-04-28,Barbados,Jamaica,Jamaica
2014-06-29,Costa Rica,Greece,Costa Rica
2011-06-19,Panama,El Salvador,Panama
2005-08-13,South Africa,Zambia,Zambia
1984-03-14,Algeria,Cameroon,Cameroon
2003-05-24,Botswana,Malawi,Malawi
2014-06-07,Padania,Iraqi Kurdistan,Padania
2000-06-07,Iran,Egypt,Egypt
2022-11-16,Lithuania,Iceland,Iceland
2001-08-03,Kuwait,Trinidad and Tobago,Kuwait
2016-06-25,Switzerland,Poland,Poland
1999-07-10,Mexico,Peru,Mexico
1984-12-08,Kenya,Somalia,Kenya
2012-02-05,Gabon,Mali,Mali
1989-12-11,Chad,Cameroon,Cameroon
1980-03-19,Algeria,Egypt,Algeria
2002-03-30,Botswana,South Africa,South Africa
1994-07-10,Romania,Sweden,Sweden
1996-08-25,Ethiopia,Uganda,Ethiopia
2003-03-22,Mozambique,Lesotho,Mozambique
1973-06-14,Guinea,Mali,Guinea
1998-11-18,Guatemala,Mexico,Guatemala
1991-01-23,Ivory Coast,Cameroon,Ivory Coast
2015-01-23,Iran,Iraq,Iraq
1988-03-23,Algeria,Nigeria,Nigeria
1998-04-22,Hungary,North Macedonia,Hungary
1999-08-03,Rwanda,Kenya,Kenya
2013-07-17,Zambia,South Africa,Zambia
2002-07-21,South Africa,Madagascar,South Africa
2003-07-09,New Caledonia,Vanuatu,New Caledonia
2009-10-28,Zimbabwe,South Africa,Zimbabwe
2007-05-26,Malawi,South Africa,South Africa
2018-06-09,Padania,Székely Land,Padania
2011-07-12,Saint Lucia,Aruba,Saint Lucia
2006-06-30,Germany,Argentina,Germany
1973-07-27,Bangladesh,Thailand,Thailand
1992-01-23,Cameroon,Ivory Coast,Ivory Coast
2021-07-03,Uruguay,Colombia,Colombia
2017-06-29,Greenland,Menorca,Greenland
2016-06-02,Iraqi Kurdistan,Padania,Padania
2017-06-09,Padania,Abkhazia,Padania
1994-01-29,Burkina Faso,Guinea,Burkina Faso
2013-07-14,Angola,Lesotho,Lesotho
2019-07-11,Ivory Coast,Algeria,Algeria
1995-08-24,Fiji,Solomon Islands,Solomon Islands
1996-06-26,France,Czech Republic,Czech Republic
2018-03-21,Zambia,Zimbabwe,Zambia
2021-07-18,South Africa,Senegal,South Africa
2022-01-23,Burkina Faso,Gabon,Burkina Faso
1981-02-13,Mali,Guinea,Guinea
2019-01-21,Australia,Uzbekistan,Australia
1976-06-20,Czechoslovakia,Germany,Czechoslovakia
2004-06-24,Portugal,England,Portugal
2015-10-13,El Salvador,Guatemala,Guatemala
1974-10-09,Syria,Morocco,Morocco
2014-05-29,Latvia,Estonia,Latvia
2001-07-13,Guernsey,Ynys Môn,Guernsey
2004-07-21,Uruguay,Brazil,Brazil
1988-12-06,Central African Republic,Gabon,Gabon
1985-07-10,Bahrain,Qatar,Bahrain
1990-06-25,Republic of Ireland,Romania,Republic of Ireland
2016-06-26,Argentina,Chile,Chile
1984-12-20,Congo,Cameroon,Cameroon
2003-03-27,Tunisia,Ghana,Tunisia
2003-12-08,Kenya,Rwanda,Rwanda
1990-08-03,China PR,South Korea,South Korea
2021-07-06,Trinidad and Tobago,French Guiana,Trinidad and Tobago
1988-01-06,South Korea,Egypt,South Korea
2002-12-27,Niger,Burkina Faso,Burkina Faso
1995-12-02,Gabon,Cameroon,Cameroon
1992-11-08,China PR,United Arab Emirates,China PR
2019-06-02,South Africa,Botswana,Botswana
2000-05-20,Malawi,Angola,Angola
2013-02-02,South Africa,Mali,Mali
2003-09-24,Algeria,Gabon,Algeria
1991-09-28,Egypt,Mali,Egypt
2015-07-04,Chile,Argentina,Chile
2010-06-29,Paraguay,Japan,Paraguay
2011-06-30,Isle of Man,Menorca,Menorca
1985-10-11,Kenya,Uganda,Kenya
2014-07-05,Netherlands,Costa Rica,Netherlands
2022-02-06,Senegal,Egypt,Senegal
1985-04-21,Madagascar,Egypt,Egypt
1972-05-17,Thailand,South Korea,South Korea
1984-03-28,Iraq,Qatar,Iraq
2002-10-26,Kenya,Uganda,Kenya
1973-08-25,Algeria,Iraq,Algeria
2004-11-30,Thailand,Estonia,Thailand
2003-03-15,Guadeloupe,French Guiana,Guadeloupe
2019-07-07,Madagascar,DR Congo,Madagascar
1993-02-20,Finland,Estonia,Finland
2003-09-26,Algeria,Burkina Faso,Algeria
2017-07-07,Tanzania,Lesotho,Tanzania
1984-07-15,Senegal,Angola,Angola
2012-11-21,Argentina,Brazil,Brazil
2009-06-26,Provence,Sápmi,Sápmi
1984-03-14,Egypt,Nigeria,Nigeria
1972-05-19,Thailand,Cambodia,Thailand
1995-03-31,India,Bangladesh,India
2002-05-17,Russia,Belarus,Belarus
1987-06-21,South Korea,Australia,South Korea
1974-12-18,South Korea,Malaysia,South Korea
1999-07-18,Eswatini,Zimbabwe,Eswatini
1992-01-26,Ghana,Ivory Coast,Ivory Coast
1996-12-21,Iran,Kuwait,Iran
2005-07-28,Kuwait,United Arab Emirates,United Arab Emirates
2004-12-22,Ethiopia,Kenya,Ethiopia
2001-07-29,Uruguay,Honduras,Honduras
2022-12-09,Netherlands,Argentina,Argentina
1990-06-30,Yugoslavia,Argentina,Argentina
2000-07-14,Libya,Chad,Libya
1998-05-29,Morocco,France,Morocco
2023-07-09,United States,Canada,United States
1982-02-21,Ivory Coast,Togo,Togo
2021-07-06,Argentina,Colombia,Argentina
1995-07-17,United States,Mexico,United States
1994-04-06,Nigeria,Ivory Coast,Nigeria
2004-08-03,China PR,Iran,China PR
1991-07-07,United States,Honduras,United States
1996-05-05,Guyana,Suriname,Suriname
2002-02-15,China PR,Slovenia,Slovenia
1995-05-21,Antigua and Barbuda,Saint Kitts and Nevis,Antigua and Barbuda
2021-07-02,Peru,Paraguay,Peru
1991-01-22,Senegal,Algeria,Senegal
2016-06-04,United Koreans in Japan,Iraqi Kurdistan,United Koreans in Japan
2005-08-15,Ukraine,Israel,Israel
2006-06-03,Northern Cyprus,Zanzibar,Northern Cyprus
2007-04-29,Mozambique,Zimbabwe,Mozambique
2014-06-28,Brazil,Chile,Brazil
1990-07-03,Italy,Argentina,Argentina
2004-12-02,Thailand,Slovakia,Slovakia
1988-10-16,Eswatini,Tanzania,Eswatini
2018-07-01,Russia,Spain,Russia
1986-06-21,Brazil,France,France
2018-06-06,Lesotho,Zimbabwe,Zimbabwe
1988-03-26,Morocco,Algeria,Algeria
2022-03-29,Kazakhstan,Moldova,Kazakhstan
2002-02-10,Senegal,Cameroon,Cameroon
1990-02-20,Colombia,Russia,Colombia
2007-05-26,Eswatini,Mauritius,Mauritius
2017-06-28,Portugal,Chile,Chile
2004-07-25,Argentina,Brazil,Brazil
1997-10-20,Haiti,Cuba,Haiti
2018-06-09,Northern Cyprus,Kárpátalja,Kárpátalja
2019-10-13,Chad,Liberia,Chad
1977-01-09,Tunisia,Morocco,Tunisia
2019-06-29,Uruguay,Peru,Peru
2016-06-19,Zambia,Eswatini,Eswatini
2014-07-09,Netherlands,Argentina,Argentina
1988-05-28,Canada,Greece,Canada
1982-02-22,Ivory Coast,Burkina Faso,Burkina Faso
2015-05-24,South Africa,Botswana,Botswana
2016-02-03,DR Congo,Guinea,DR Congo
2001-08-18,Zambia,Angola,Angola
2019-06-29,Mexico,Costa Rica,Mexico
1983-12-15,Ivory Coast,Mali,Ivory Coast
2001-10-24,Tanzania,DR Congo,Tanzania
1984-12-13,Saudi Arabia,Iran,Saudi Arabia
2001-10-24,Kenya,Uganda,Kenya
2018-06-09,Tibet,United Koreans in Japan,United Koreans in Japan
1983-07-18,Hong Kong,Thailand,Thailand
2001-08-05,Kuwait,North Korea,North Korea
1993-06-27,Brazil,Argentina,Argentina
1982-03-19,Libya,Ghana,Ghana
1984-06-24,Denmark,Spain,Spain
2019-07-08,Ghana,Tunisia,Tunisia
2000-06-11,Lesotho,Zambia,Lesotho
2006-05-21,Botswana,South Africa,Botswana
1973-07-26,Cambodia,Singapore,Singapore
1987-06-19,Australia,Egypt,Australia
2022-03-29,Senegal,Egypt,Senegal
1996-12-11,Morocco,Croatia,Croatia
1991-01-21,Senegal,Ivory Coast,Ivory Coast
1995-01-10,Denmark,Mexico,Denmark
2007-07-22,Iran,South Korea,South Korea
1983-02-06,Senegal,Niger,Senegal
1996-12-21,United Arab Emirates,Saudi Arabia,Saudi Arabia
1983-02-27,Mali,Guinea,Mali
2001-02-11,Eswatini,Zambia,Eswatini
1999-05-22,Malawi,Namibia,Namibia
1997-12-07,Gambia,Guinea,Guinea
2005-04-16,Namibia,Botswana,Botswana
2002-10-23,Kenya,South Africa,Kenya
1982-07-08,Germany,France,Germany
2002-01-27,Mexico,South Korea,South Korea
2005-02-08,Cyprus,Austria,Cyprus
2015-07-04,Zambia,Namibia,Zambia
2018-07-07,Russia,Croatia,Croatia
2003-08-16,Malawi,Zambia,Malawi
2016-06-03,Chagos Islands,Raetia,Raetia
1996-06-05,Martinique,Suriname,Martinique
2021-06-03,Mexico,Costa Rica,Mexico
2011-01-25,Japan,South Korea,Japan
2022-12-06,Morocco,Spain,Morocco
1992-09-15,Syria,Egypt,Egypt
2002-01-06,Martinique,Haiti,Martinique
2015-07-19,Trinidad and Tobago,Panama,Panama
2002-12-29,Niger,Mali,Niger
2022-12-05,Japan,Croatia,Croatia
2014-06-04,Abkhazia,South Ossetia,South Ossetia
1976-12-22,South Korea,Malaysia,Malaysia
2021-07-11,England,Italy,Italy
1974-11-22,Libya,Tunisia,Tunisia
2016-07-02,Germany,Italy,Germany
1989-04-23,Kenya,Sudan,Kenya
1999-08-07,Rwanda,Burundi,Rwanda
2013-02-06,Burkina Faso,Ghana,Burkina Faso
2016-06-03,Thailand,Syria,Thailand
1998-01-31,Iran,Chile,Iran
2016-06-17,Peru,Colombia,Colombia
2006-02-10,Egypt,Ivory Coast,Egypt
2006-07-09,Italy,France,Italy
1992-08-29,Japan,South Korea,Japan
2018-07-01,Croatia,Denmark,Croatia
1999-11-26,Gabon,Togo,Togo
1999-07-31,Namibia,South Africa,Namibia
1980-02-16,Gambia,Mauritania,Gambia
2016-06-05,Abkhazia,Panjab,Abkhazia
2016-06-22,Botswana,DR Congo,Botswana
2019-06-07,Lesotho,Zimbabwe,Zimbabwe
2007-07-10,Uruguay,Brazil,Brazil
2005-12-10,Zanzibar,Uganda,Zanzibar
2004-10-24,Zimbabwe,Zambia,Zambia
2001-08-03,China PR,North Korea,North Korea
2015-06-26,Argentina,Colombia,Argentina
1995-02-26,Japan,South Korea,Japan
1993-07-01,Colombia,Argentina,Argentina
2000-05-21,Barbados,Cuba,Barbados
2003-03-30,Ghana,Madagascar,Ghana
2017-01-11,Chile,Croatia,Chile
2023-06-17,Suriname,Puerto Rico,Puerto Rico
2015-06-27,Brazil,Paraguay,Paraguay
2004-02-19,Kazakhstan,Armenia,Kazakhstan
1994-12-08,Tanzania,Uganda,Tanzania
1995-12-06,Ethiopia,Zanzibar,Zanzibar
1995-07-23,Uruguay,Brazil,Uruguay
1993-05-30,Jamaica,Martinique,Martinique
1971-11-14,South Korea,Vietnam Republic,South Korea
2002-09-07,Syria,Iran,Iran
2011-07-16,Argentina,Uruguay,Uruguay
2023-07-04,India,Kuwait,India
1998-09-05,Indonesia,Thailand,Indonesia
2019-06-28,Colombia,Chile,Chile
1998-02-21,Burkina Faso,Tunisia,Burkina Faso
1992-06-27,Cuba,Martinique,Martinique
1991-01-21,Cameroon,Algeria,Cameroon
2016-06-03,Iraqi Kurdistan,Western Armenia,Western Armenia
2014-06-05,Padania,Abkhazia,Padania
2000-03-19,Suriname,Saint Lucia,Suriname
2021-06-28,France,Switzerland,Switzerland
1996-06-22,France,Netherlands,France
2017-06-29,Hitra,Western Isles,Western Isles
2002-09-17,Iran,Morocco,Iran
1977-06-26,Zambia,Algeria,Zambia
1984-12-15,Malawi,Zambia,Zambia
2000-02-13,Nigeria,Cameroon,Cameroon
2023-06-16,Curaçao,Saint Kitts and Nevis,Saint Kitts and Nevis
2005-11-16,Australia,Uruguay,Australia
2000-02-12,South Africa,Tunisia,South Africa
1998-07-07,Brazil,Netherlands,Brazil
2005-07-21,Colombia,Panama,Panama
2015-05-27,South Africa,Malawi,Malawi
1989-11-08,Iran,Uganda,Uganda
2013-06-30,Uruguay,Italy,Italy
2004-10-22,Nigeria,Ecuador,Ecuador
2003-03-07,Benin,Niger,Benin
1999-08-07,Zambia,Mozambique,Zambia
2013-06-27,Spain,Italy,Spain
2011-06-18,Costa Rica,Honduras,Honduras
2011-07-20,Paraguay,Venezuela,Paraguay
2022-09-23,Iraq,Oman,Oman
2006-06-26,Switzerland,Ukraine,Ukraine
1977-08-31,Paraguay,Argentina,Paraguay
1983-12-18,Mali,Nigeria,Mali
1998-07-03,France,Italy,France
1985-07-12,Saudi Arabia,Qatar,Saudi Arabia
2005-12-10,Syria,Iraq,Iraq
2003-02-04,Uruguay,Iran,Uruguay
1999-07-13,Uruguay,Chile,Uruguay
2020-11-12,Serbia,Scotland,Scotland
1987-03-02,Senegal,Sierra Leone,Senegal
1993-02-24,Argentina,Denmark,Argentina
1986-06-21,Mexico,Germany,Germany
1990-01-28,Nigeria,Senegal,Nigeria
1990-02-04,United States,Colombia,Colombia
2017-06-10,Northern Cyprus,Padania,Padania
2006-04-30,Mauritius,Mozambique,Mozambique
2019-06-04,South Africa,Uganda,South Africa
2018-03-24,Angola,Zimbabwe,Angola
2015-05-25,Mozambique,Malawi,Mozambique
2009-07-23,Costa Rica,Mexico,Mexico
2007-07-29,Botswana,Angola,Botswana
1987-12-18,Equatorial Guinea,Gabon,Gabon
2016-05-27,Corsica,Basque Country,Basque Country
2022-12-09,Croatia,Brazil,Croatia
1996-01-28,Gabon,Tunisia,Tunisia
2016-06-30,Poland,Portugal,Portugal
2015-01-30,Curaçao,Aruba,Aruba
1993-01-23,Japan,Switzerland,Switzerland
1980-11-30,Zambia,Morocco,Morocco
1999-06-16,Thailand,New Zealand,Thailand
1993-10-24,Burundi,Guinea,Guinea
2019-06-01,Lesotho,Uganda,Lesotho
2021-06-06,Honduras,Costa Rica,Honduras
2023-07-12,United States,Panama,Panama
1987-03-01,Mali,Sierra Leone,Mali
2017-07-16,Thailand,Belarus,Thailand
1984-02-16,Sierra Leone,Mali,Sierra Leone
2000-12-02,Ethiopia,Rwanda,Ethiopia
2022-02-03,Cameroon,Egypt,Egypt
1992-06-22,Netherlands,Denmark,Denmark
1983-10-20,Brazil,Paraguay,Brazil
1995-07-17,Brazil,Argentina,Brazil
1994-07-05,Mexico,Bulgaria,Bulgaria
1980-07-12,Nigeria,Tunisia,Nigeria
1997-02-07,Russia,Serbia,Russia
2002-06-16,Spain,Republic of Ireland,Spain
2000-07-16,Mozambique,Lesotho,Lesotho
1990-07-04,Germany,England,Germany
1992-11-25,Uganda,Zambia,Uganda
2002-09-19,Iran,Paraguay,Iran
2015-07-02,Gibraltar,Åland Islands,Åland Islands
2023-06-17,Guyana,Grenada,Guyana
1990-12-17,Tanzania,Uganda,Uganda
1973-08-09,India,Vietnam Republic,Vietnam Republic
2020-10-08,Scotland,Israel,Scotland
1993-08-15,Australia,Canada,Australia
2014-06-08,County of Nice,Ellan Vannin,County of Nice
2002-02-12,Cyprus,Switzerland,Cyprus
2012-02-12,Zambia,Ivory Coast,Zambia
2005-06-26,Mexico,Argentina,Argentina
2008-06-20,Croatia,Turkey,Turkey
2011-02-08,Romania,Ukraine,Ukraine
1996-12-19,Iran,Saudi Arabia,Saudi Arabia
2000-02-04,Romania,Georgia,Romania
1995-12-07,Honduras,Costa Rica,Honduras
1973-04-21,Senegal,Ghana,Ghana
2010-07-02,Uruguay,Ghana,Uruguay
2006-03-01,Finland,Belarus,Finland
1995-06-09,Paraguay,Bolivia,Paraguay
2004-06-23,Jordan,Syria,Syria
1987-12-27,Ethiopia,Zimbabwe,Ethiopia
1988-07-21,Iraq,Syria,Iraq
1996-06-26,England,Germany,Germany
