date,home_team,away_team,winner
2019-07-11,Ivory Coast,Algeria,Algeria
1973-07-27,Bangladesh,Thailand,Thailand
2019-07-05,Morocco,Benin,Benin
2022-12-18,Argentina,France,Argentina
1982-07-08,Germany,France,Germany
1984-12-19,Central African Republic,Gabon,Gabon
1990-12-17,Tanzania,Uganda,Uganda
2001-10-24,Tanzania,DR Congo,Tanzania
2014-06-04,Abkhazia,South Ossetia,South Ossetia
1998-01-31,Egypt,South Korea,South Korea
2005-06-26,Mexico,Argentina,Argentina
2021-07-06,Italy,Spain,Italy
2007-05-26,Eswatini,Mauritius,Mauritius
2021-07-16,Senegal,Eswatini,Senegal
1989-11-08,Iran,Uganda,Uganda
1996-11-29,Sudan,Kenya,Sudan
2010-07-02,Uruguay,Ghana,Uruguay
1986-12-17,Chad,Gabon,Chad
1973-06-14,Guinea,Mali,Guinea
1974-11-22,Libya,Tunisia,Tunisia
2000-02-19,United States,Colombia,Colombia
1995-07-23,Uruguay,Brazil,Uruguay
2022-02-05,Cameroon,Burkina Faso,Cameroon
1995-02-26,Japan,South Korea,Japan
2003-09-26,Algeria,Burkina Faso,Algeria
1987-12-27,Ethiopia,Zimbabwe,Ethiopia
2001-08-05,Kuwait,North Korea,North Korea
2021-12-11,Morocco,Algeria,Algeria
2015-07-04,Zambia,Namibia,Zambia
2017-07-16,Thailand,Belarus,Thailand
2022-12-09,Netherlands,Argentina,Argentina
2005-02-27,Costa Rica,Honduras,Costa Rica
2011-07-12,Saint Lucia,Aruba,Saint Lucia
2018-03-21,Zambia,Zimbabwe,Zambia
2016-06-30,Poland,Portugal,Portugal
2015-07-19,Trinidad and Tobago,Panama,Panama
1988-05-08,Guinea,Mali,Guinea
2021-07-06,Guatemala,Guadeloupe,Guadeloupe
2016-06-03,Iraqi Kurdistan,Western Armenia,Western Armenia
1999-08-03,Rwanda,Kenya,Kenya
2014-05-29,Latvia,Estonia,Latvia
2007-07-22,Iran,South Korea,South Korea
1998-01-31,Iran,Chile,Iran
1996-12-19,Iran,Saudi Arabia,Saudi Arabia
2018-03-22,Thailand,Gabon,Thailand
2016-06-25,Switzerland,Poland,Poland
2002-12-27,Niger,Burkina Faso,Burkina Faso
2015-07-04,Chile,Argentina,Chile
2004-07-30,Uzbekistan,Bahrain,Bahrain
2011-01-25,Japan,South Korea,Japan
1983-02-27,Mali,Guinea,Mali
1980-07-12,Nigeria,Tunisia,Nigeria
1992-01-23,Cameroon,Ivory Coast,Ivory Coast
1989-11-12,Iraq,Uganda,Iraq
1994-04-06,Nigeria,Ivory Coast,Nigeria
1986-10-19,Gabon,Angola,Angola
2017-07-01,Namibia,Lesotho,Lesotho
2005-08-13,South Africa,Zambia,Zambia
2021-07-18,South Africa,Senegal,South Africa
2005-04-16,Namibia,Botswana,Botswana
2019-06-29,Uruguay,Peru,Peru
1987-06-19,Australia,Egypt,Australia
2016-06-22,Botswana,DR Congo,Botswana
2017-06-10,Northern Cyprus,Padania,Padania
2004-11-30,Thailand,Estonia,Thailand
2021-06-06,Honduras,Costa Rica,Honduras
1992-08-29,Japan,South Korea,Japan
2011-07-20,Paraguay,Venezuela,Paraguay
2023-07-09,United States,Canada,United States
2001-07-29,Uruguay,Honduras,Honduras
2004-02-28,Lesotho,Botswana,Botswana
2015-10-13,El Salvador,Guatemala,Guatemala
1997-10-20,Haiti,Cuba,Haiti
2022-02-06,Senegal,Egypt,Senegal
2021-07-18,Eswatini,Mozambique,Eswatini
2019-06-07,Lesotho,Zimbabwe,Zimbabwe
1988-03-23,Algeria,Nigeria,Nigeria
1984-03-14,Egypt,Nigeria,Nigeria
2009-07-23,Costa Rica,Mexico,Mexico
2015-05-25,Mozambique,Malawi,Mozambique
1996-12-12,Croatia,Czech Republic,Croatia
2000-07-16,Mozambique,Lesotho,Lesotho
2012-11-21,Argentina,Brazil,Brazil
1979-05-22,Argentina,Netherlands,Argentina
2022-12-05,Japan,Croatia,Croatia
2002-07-21,South Africa,Madagascar,South Africa
1993-01-23,Japan,Switzerland,Switzerland
2000-05-20,Malawi,Angola,Angola
2002-09-19,Iran,Paraguay,Iran
1976-06-20,Czechoslovakia,Germany,Czechoslovakia
1977-01-09,Tunisia,Morocco,Tunisia
1996-05-05,Guyana,Suriname,Suriname
2016-06-03,Vietnam,Hong Kong,Vietnam
1980-11-30,Zambia,Morocco,Morocco
2016-06-03,Bosnia and Herzegovina,Denmark,Bosnia and Herzegovina
2021-06-28,France,Switzerland,Switzerland
1973-06-14,Mauritius,Tanzania,Mauritius
2005-07-21,Colombia,Panama,Panama
2019-01-20,Jordan,Vietnam,Vietnam
2002-01-06,Martinique,Haiti,Martinique
2002-03-30,Botswana,South Africa,South Africa
2018-07-07,Russia,Croatia,Croatia
2023-06-18,Croatia,Spain,Spain
2019-10-13,Chad,Liberia,Chad
1996-06-05,Martinique,Suriname,Martinique
1973-08-25,Algeria,Iraq,Algeria
1972-05-07,South Korea,Iraq,Iraq
2003-07-09,New Caledonia,Vanuatu,New Caledonia
2002-01-26,Canada,Martinique,Canada
1988-03-26,Morocco,Algeria,Algeria
1974-12-18,South Korea,Malaysia,South Korea
1989-12-11,Chad,Cameroon,Cameroon
2015-02-07,Equatorial Guinea,DR Congo,DR Congo
2019-06-29,Mexico,Costa Rica,Mexico
2000-02-13,Nigeria,Cameroon,Cameroon
1985-07-12,Saudi Arabia,Qatar,Saudi Arabia
2004-02-19,Kazakhstan,Armenia,Kazakhstan
2021-07-03,Uruguay,Colombia,Colombia
2000-05-11,Senegal,Mali,Senegal
2023-06-17,Suriname,Puerto Rico,Puerto Rico
1999-07-31,Namibia,South Africa,Namibia
2019-07-08,Ghana,Tunisia,Tunisia
1998-06-30,Argentina,England,Argentina
1995-08-24,Fiji,Solomon Islands,Solomon Islands
2022-01-26,Ivory Coast,Egypt,Egypt
2003-05-24,Botswana,Malawi,Malawi
2006-06-30,Germany,Argentina,Germany
2018-06-09,Padania,Székely Land,Padania
2007-07-29,Botswana,Angola,Botswana
1999-11-26,Gabon,Togo,Togo
2002-11-19,South Africa,Senegal,Senegal
1990-06-25,Republic of Ireland,Romania,Republic of Ireland
1995-07-16,Paraguay,Colombia,Colombia
1997-06-22,Ecuador,Mexico,Mexico
1983-04-24,Mauritius,Ethiopia,Ethiopia
1984-07-15,Senegal,Angola,Angola
1998-02-21,Burkina Faso,Tunisia,Burkina Faso
1984-12-20,Congo,Cameroon,Cameroon
2004-07-25,Argentina,Brazil,Brazil
2006-02-04,Nigeria,Tunisia,Nigeria
1982-11-27,Uganda,Kenya,Kenya
2003-01-20,Bangladesh,Maldives,Bangladesh
2019-07-07,Madagascar,DR Congo,Madagascar
1980-03-19,Algeria,Egypt,Algeria
2014-07-09,Netherlands,Argentina,Argentina
2004-11-20,Zambia,Angola,Angola
1985-08-25,Mali,Guinea,Guinea
2000-06-07,Iran,Egypt,Egypt
2021-06-03,Mexico,Costa Rica,Mexico
2011-06-18,Costa Rica,Honduras,Honduras
2016-06-19,Zambia,Eswatini,Eswatini
2018-06-06,Lesotho,Zimbabwe,Zimbabwe
2023-07-01,India,Lebanon,India
2001-07-13,Guernsey,Ynys Môn,Guernsey
2023-07-12,United States,Panama,Panama
2019-06-06,South Ossetia,Chameria,South Ossetia
1994-07-10,Romania,Sweden,Sweden
2017-02-01,Burkina Faso,Egypt,Egypt
2006-04-29,Lesotho,Mozambique,Lesotho
1973-07-26,Cambodia,Singapore,Singapore
2000-10-28,Kenya,Uganda,Uganda
2000-10-04,United Arab Emirates,South Korea,United Arab Emirates
2022-06-13,Australia,Peru,Australia
1994-12-08,Tanzania,Uganda,Tanzania
2000-12-02,Ethiopia,Rwanda,Ethiopia
1992-06-22,Netherlands,Denmark,Denmark
1990-01-28,Nigeria,Senegal,Nigeria
2023-06-17,Guyana,Grenada,Guyana
2001-08-03,Kuwait,Trinidad and Tobago,Kuwait
2018-06-03,South Africa,Madagascar,Madagascar
2005-11-16,Australia,Uruguay,Australia
1994-07-05,Mexico,Bulgaria,Bulgaria
1991-01-22,Senegal,Algeria,Senegal
1998-07-07,Brazil,Netherlands,Brazil
1983-07-18,Hong Kong,Thailand,Thailand
1995-12-02,Gabon,Cameroon,Cameroon
2000-03-19,Suriname,Saint Lucia,Suriname
2009-10-28,Zimbabwe,South Africa,Zimbabwe
2007-05-26,Malawi,South Africa,South Africa
1994-01-29,Burkina Faso,Guinea,Burkina Faso
2002-06-16,Spain,Republic of Ireland,Spain
1988-01-06,South Korea,Egypt,South Korea
2000-05-21,Barbados,Cuba,Barbados
1997-02-07,Russia,Serbia,Russia
1996-12-21,Iran,Kuwait,Iran
2016-06-26,Argentina,Chile,Chile
1989-12-16,Malawi,Uganda,Uganda
1996-06-22,France,Netherlands,France
1990-07-03,Italy,Argentina,Argentina
1999-06-16,Thailand,New Zealand,Thailand
2005-02-08,Cyprus,Austria,Cyprus
2000-06-29,Netherlands,Italy,Italy
2015-05-27,South Africa,Malawi,Malawi
2017-06-09,Kárpátalja,Ellan Vannin,Kárpátalja
1988-07-21,Iraq,Syria,Iraq
2020-10-08,Scotland,Israel,Scotland
2022-12-06,Morocco,Spain,Morocco
2014-06-08,County of Nice,Ellan Vannin,County of Nice
2004-12-22,Ethiopia,Kenya,Ethiopia
1993-06-27,Brazil,Argentina,Argentina
1991-07-07,United States,Honduras,United States
2022-03-29,Senegal,Egypt,Senegal
1998-02-27,Burkina Faso,DR Congo,DR Congo
1983-12-18,Mali,Nigeria,Mali
2017-01-11,Chile,Croatia,Chile
1999-07-18,Eswatini,Zimbabwe,Eswatini
1995-01-10,Denmark,Mexico,Denmark
2012-02-12,Zambia,Ivory Coast,Zambia
1981-05-10,Rwanda,Ethiopia,Ethiopia
1996-12-11,Morocco,Croatia,Croatia
1988-07-19,Egypt,Syria,Syria
1972-05-17,Thailand,South Korea,South Korea
1984-12-15,Malawi,Zambia,Zambia
2022-11-16,Latvia,Estonia,Latvia
1995-12-07,Honduras,Costa Rica,Honduras
1982-05-15,Thailand,Singapore,Thailand
2009-06-26,Provence,Sápmi,Sápmi
2017-06-28,Portugal,Chile,Chile
2002-09-07,Syria,Iran,Iran
1986-06-21,Brazil,France,France
2016-06-03,Thailand,Syria,Thailand
1999-07-10,Paraguay,Uruguay,Uruguay
1985-07-10,Bahrain,Qatar,Bahrain
2019-03-23,Oman,Singapore,Oman
1977-03-22,Argentina,Iran,Argentina
2022-02-03,Cameroon,Egypt,Egypt
1973-08-09,India,Vietnam Republic,Vietnam Republic
2002-02-10,Senegal,Cameroon,Cameroon
1999-08-07,Zambia,Mozambique,Zambia
