date,home_team,away_team,team,scorer,minute,own_goal,penalty
1996-10-08,Luxembourg,Bulgaria,Bulgaria,Emil Kostadinov,37.0,False,False
1965-05-30,Russia,Wales,Russia,Graham Williams,48.0,True,False
1978-10-04,Yugoslavia,Spain,Yugoslavia,Vahid Halilhodžić,44.0,False,False
2018-06-25,Spain,Morocco,Morocco,Khalid Boutaïb,14.0,False,False
2001-09-05,Mexico,Trinidad and Tobago,Mexico,Jesús Arellano,44.0,False,False
1957-03-24,Brazil,Colombia,Brazil,Evaristo de Macedo,44.0,False,False
2004-08-18,El Salvador,Panama,El Salvador,Víctor Velásquez,7.0,False,False
2019-10-13,Cyprus,Russia,Russia,Denis Cheryshev,90.0,False,False
1963-10-19,German DR,Hungary,Hungary,Ferenc Bene,18.0,False,False
2008-06-14,North Korea,Jordan,North Korea,Hong Yong-jo,72.0,False,False
2022-01-27,Lebanon,South Korea,South Korea,Cho Gue-sung,45.0,False,False
1989-07-03,Venezuela,Colombia,Venezuela,Carlos Maldonado,88.0,False,False
2010-10-08,Hungary,San Marino,Hungary,Gergely Rudolf,11.0,False,False
2004-09-08,Sri Lanka,Indonesia,Sri Lanka,Chandradasa Karunaratne,82.0,False,False
1987-10-28,Netherlands,Cyprus,Netherlands,John Bosman,1.0,False,False
2015-11-13,Mauritania,Tunisia,Tunisia,Yassine Chikhaoui,68.0,False,False
2019-09-05,Finland,Greece,Finland,Teemu Pukki,52.0,False,True
1957-10-20,Argentina,Chile,Argentina,Oreste Corbatta,41.0,False,False
1985-04-03,Hungary,Cyprus,Hungary,László Szokolai,83.0,False,False
2007-03-24,Greece,Turkey,Greece,Sotirios Kyrgiakos,6.0,False,False
2021-07-11,El Salvador,Guatemala,El Salvador,Alex Roldan,81.0,False,False
1926-11-03,Chile,Paraguay,Chile,Manuel Ramírez,42.0,False,False
1971-11-14,Romania,Czechoslovakia,Romania,Emerich Dembrovschi,26.0,False,False
2021-06-19,Germany,Portugal,Germany,Robin Gosens,60.0,False,False
